id,name,date,cumulative_proposals
balancer,Balancer,2022-05-08,117
balancer,Balancer,2022-05-11,118
balancer,Balancer,2022-05-12,119
balancer,Balancer,2022-05-15,124
balancer,Balancer,2022-05-19,125
balancer,Balancer,2022-05-23,126
balancer,Balancer,2022-05-24,127
balancer,Balancer,2022-05-26,129
balancer,Balancer,2022-05-30,131
balancer,Balancer,2022-06-02,133
balancer,Balancer,2022-06-05,137
balancer,Balancer,2022-06-12,142
balancer,Balancer,2022-06-14,143
balancer,Balancer,2022-06-20,151
balancer,Balancer,2022-06-26,156
balancer,Balancer,2022-07-03,163
balancer,Balancer,2022-07-05,165
balancer,Balancer,2022-07-10,168
balancer,Balancer,2022-07-17,169
balancer,Balancer,2022-07-24,174
balancer,Balancer,2022-07-31,178
balancer,Balancer,2022-08-07,181
balancer,Balancer,2022-08-14,183
balancer,Balancer,2022-08-15,184
balancer,Balancer,2022-08-21,189
balancer,Balancer,2022-08-28,197
balancer,Balancer,2022-09-04,201
balancer,Balancer,2022-09-12,211
balancer,Balancer,2022-09-19,213
balancer,Balancer,2022-09-25,220
balancer,Balancer,2022-10-02,225
balancer,Balancer,2022-10-09,226
balancer,Balancer,2022-10-16,233
balancer,Balancer,2022-10-23,238
balancer,Balancer,2022-10-30,246
balancer,Balancer,2022-11-06,251
balancer,Balancer,2022-11-13,255
balancer,Balancer,2022-11-20,256
balancer,Balancer,2022-11-27,257
balancer,Balancer,2022-12-05,270
balancer,Balancer,2022-12-12,276
balancer,Balancer,2022-12-19,282
balancer,Balancer,2022-12-20,283
balancer,Balancer,2022-12-26,286
balancer,Balancer,2023-01-09,290
balancer,Balancer,2023-01-16,302
balancer,Balancer,2023-01-23,305
balancer,Balancer,2023-01-30,309
balancer,Balancer,2023-02-06,313
balancer,Balancer,2023-02-13,326
balancer,Balancer,2023-02-20,338
balancer,Balancer,2023-02-27,348
balancer,Balancer,2023-03-06,350
balancer,Balancer,2023-03-13,354
balancer,Balancer,2023-03-20,359
balancer,Balancer,2023-03-27,365
balancer,Balancer,2023-04-03,372
balancer,Balancer,2023-04-10,385
balancer,Balancer,2023-04-17,396
balancer,Balancer,2023-04-24,411
balancer,Balancer,2023-05-01,419
balancer,Balancer,2023-05-08,428
balancer,Balancer,2023-05-15,435
balancer,Balancer,2023-05-22,446
balancer,Balancer,2023-05-29,454
balancer,Balancer,2023-06-05,460
balancer,Balancer,2023-06-12,466
balancer,Balancer,2023-06-19,479
balancer,Balancer,2023-06-26,486
balancer,Balancer,2023-07-03,493
balancer,Balancer,2023-07-10,496
balancer,Balancer,2023-07-17,509
balancer,Balancer,2023-07-24,520
balancer,Balancer,2023-07-31,532
balancer,Balancer,2023-08-07,539
balancer,Balancer,2023-08-14,543
balancer,Balancer,2023-08-21,548
balancer,Balancer,2023-08-28,553
balancer,Balancer,2023-09-04,561
balancer,Balancer,2023-09-11,568
balancer,Balancer,2023-09-18,574
balancer,Balancer,2023-09-25,582
balancer,Balancer,2023-10-02,587
balancer,Balancer,2023-10-03,588
balancer,Balancer,2023-10-09,590
balancer,Balancer,2023-10-16,597
balancer,Balancer,2023-10-23,602
balancer,Balancer,2023-10-30,607
balancer,Balancer,2023-11-06,617
balancer,Balancer,2023-11-13,625
balancer,Balancer,2023-11-20,632
balancer,Balancer,2023-11-27,636
balancer,Balancer,2023-12-04,643
balancer,Balancer,2023-12-11,648
balancer,Balancer,2023-12-18,653
balancer,Balancer,2023-12-25,666
balancer,Balancer,2024-01-01,668
balancer,Balancer,2024-01-08,671
balancer,Balancer,2024-01-15,678
balancer,Balancer,2024-01-22,682
balancer,Balancer,2024-02-05,685
balancer,Balancer,2024-02-12,688
balancer,Balancer,2024-02-19,692
balancer,Balancer,2024-02-26,694
balancer,Balancer,2024-03-04,699
balancer,Balancer,2024-03-11,702
balancer,Balancer,2024-03-18,703
balancer,Balancer,2024-03-25,715
balancer,Balancer,2024-04-01,721
balancer,Balancer,2024-04-08,728
balancer,Balancer,2024-04-22,735
balancer,Balancer,2024-04-29,739
balancer,Balancer,2024-05-06,748
balancer,Balancer,2024-05-13,750
balancer,Balancer,2024-05-20,753
balancer,Balancer,2024-05-27,756
balancer,Balancer,2024-06-03,761
balancer,Balancer,2024-06-10,763
balancer,Balancer,2024-06-17,769
balancer,Balancer,2024-06-24,780
balancer,Balancer,2024-07-01,793
balancer,Balancer,2024-07-08,800
balancer,Balancer,2024-07-15,805
balancer,Balancer,2024-07-22,807
balancer,Balancer,2024-07-29,808
balancer,Balancer,2024-08-05,810
