Balance,Holder
{'Amount': '6903.354962512038677123'},{'Address': '0x6724f3fbb16f542401bfc42c464ce91b6c31001e'}
{'Amount': '6901.916818532565936716'},{'Address': '0x925a2a86b400b7011e82de3a52404b9f83022c93'}
{'Amount': '6750.000000000000000000'},{'Address': '0xc0aa8046f860996b7b6d366b6d71391e70c74376'}
{'Amount': '6634.923564285292408822'},{'Address': '0xf8bff2f4534330195e893054d69a8aaf5eb884b0'}
{'Amount': '6588.832000000000000000'},{'Address': '0x5a17989616c8f3f1372e7caa6b0b988e80d7a322'}
{'Amount': '6584.098790000000000000'},{'Address': '0x0972305ae9dd48092141111c1498cebf279968f1'}
{'Amount': '6453.882005645854000000'},{'Address': '0x7d573c852528aecfef093c9428fc0c444a1e9716'}
{'Amount': '6343.710633703052882609'},{'Address': '0xc81d50c17754b379f1088574cf723be4fb00307d'}
{'Amount': '6285.830468318898851588'},{'Address': '0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea'}
{'Amount': '6250.000030137000000000'},{'Address': '0x12058292d1848fba58f7c70f7b14239fe9e3b737'}
{'Amount': '6238.355360346833427630'},{'Address': '0xfdde7ad56320b9cc691ad319a8fec2c8d6b993e6'}
{'Amount': '6178.936948090082877360'},{'Address': '0x4a137fd5e7a256ef08a7de531a17d0be0cc7b6b6'}
{'Amount': '6152.116782380000000000'},{'Address': '0xa16ef7516b1417ec3cdfdde919be98417e4cd5e0'}
{'Amount': '6097.000000024123045376'},{'Address': '0x6c5e1df7351356d60b7ba512817b9958949131ac'}
{'Amount': '6000.000000000000000000'},{'Address': '0x33ddd548fe3a082d753e5fe721a26e1ab43e3598'}
{'Amount': '5913.000000000000000000'},{'Address': '0xd6216fc19db775df9774a6e33526131da7d19a2c'}
{'Amount': '5883.255943997815383450'},{'Address': '0xfc117cb4c186586f415cebaaa0644aa0ad530b8a'}
{'Amount': '5842.213552889390462470'},{'Address': '0xaa2e24709c11d3fa1d692e2fc000afbc7dacec4a'}
{'Amount': '5769.806827313902970138'},{'Address': '0x009023da14a3c9f448b75f33ceb9291c21373bd8'}
{'Amount': '5485.705907332414492912'},{'Address': '0xde21f729137c5af1b01d73af1dc21effa2b8a0d6'}
{'Amount': '5459.647793742757813163'},{'Address': '0xcca71809e8870afeb72c4720d0fe50d5c3230e05'}
{'Amount': '5433.037388254331500227'},{'Address': '0x0548f59fee79f8832c299e01dca5c76f034f558e'}
