Balance,Holder
{'Amount': '1260.774447917938245632'},{'Address': '0x3a56524a6a803b06af82589f2437b030dc1e6e80'}
{'Amount': '1258.752868305736026422'},{'Address': '0x19ea85c0d0e52a3c5ecf5038f9ab71241c9618de'}
{'Amount': '1252.195737765682089564'},{'Address': '0x4e421fbda70cdc0a7b252bf5db2a0346525a5128'}
{'Amount': '1238.190934211749232835'},{'Address': '0x17961a736160a5733759e2ba9a132671d1d76550'}
{'Amount': '1218.458284818158093357'},{'Address': '0x37b17ad816f3a3ebc59fd18d79134be9bfb545a9'}
{'Amount': '1213.071127122100141406'},{'Address': '0xb8a9e7fb56122c60aca6a253a56f65a48297f811'}
{'Amount': '1206.636249631867289516'},{'Address': '0x613d048cbd27c709d9a75a18a420882a144c3a5e'}
{'Amount': '1202.593082813588197815'},{'Address': '0xddb50ffdba4d89354e1088e4ea402de895562173'}
{'Amount': '1201.000000000000000000'},{'Address': '0x140401ede59ac94f84cc1a034222a47bd082b65e'}
{'Amount': '1200.914417972078373572'},{'Address': '0x6416ec541cd674d347be59ed2bfed79ea388d043'}
{'Amount': '1200.000000000000000000'},{'Address': '0x15ff82e7bf1383aacb4f6cc4c4678734d16c096c'}
{'Amount': '1181.349211837709304015'},{'Address': '0x0f78f85023bbfbc2e0d4ed1cbcb0267dbbb5ede4'}
{'Amount': '1174.314949072259776877'},{'Address': '0x9008d19f58aabd9ed0d60971565aa8510560ab41'}
{'Amount': '1166.250000000000000000'},{'Address': '0x46426750dc069953b3d78979fd5743c28d8f7596'}
{'Amount': '1166.250000000000000000'},{'Address': '0x292c6dae7417b3d31d8b6e1d2eea0258d14c4c4b'}
{'Amount': '1165.429114756319842446'},{'Address': '0xbd562746c82c9c0458b388c379a8930a21c3e03e'}
{'Amount': '1153.915206254949917846'},{'Address': '0xc0a177953f12f0a22eb4046ef8d06c0cf5e50b02'}
{'Amount': '1153.435205335179013268'},{'Address': '0x271bc1d79a6ca300de99e634e0a0508fa1b0ddf9'}
{'Amount': '1152.389146830824993560'},{'Address': '0xc0e2c772006a5247ef253fc3bb467b7c0030d7fc'}
{'Amount': '1142.208664297096225488'},{'Address': '0x2ca74be68f0a0e053f030d143c1376806babedc9'}
{'Amount': '1140.000000000000000000'},{'Address': '0xbd1f7d88c76a86c60d41bddd4819fae404e7151e'}
{'Amount': '1124.928149203229281948'},{'Address': '0xa860cba0d569454a33b8d311472d639e431e7488'}
{'Amount': '1102.376330001814922450'},{'Address': '0x020891d1e23ab9a8a5cdc6def299761c5aee0b22'}
{'Amount': '1095.321670982537320190'},{'Address': '0x3834f3601f3ea3b9a6537cb19d39cb7eb9bc7531'}
{'Amount': '1094.960951549524972113'},{'Address': '0xce7e15acf3da916a4df4842c3350248ad74ffc79'}
{'Amount': '1092.500000000000000000'},{'Address': '0xd018b4e7fb8aa6d26dc662ddba1c6b6bb88e1153'}
{'Amount': '1086.274414062500052992'},{'Address': '0x8ebed0ff2b0232b0aedbfe6e9c0f72ac72577869'}
{'Amount': '1080.000000000000000000'},{'Address': '0x687a14ffbe207488b9a423f479bf5c046962530a'}
{'Amount': '1072.935885061839243026'},{'Address': '0x734f3ed7d3d606bd3e2410a833b83ecf0317d9f9'}
{'Amount': '1066.619827489342262424'},{'Address': '0xb95a4779ccedc53010ef0df8bf8ed6aeb0e8c2b2'}
{'Amount': '1048.000000000000000000'},{'Address': '0xf7ecbf4f97670d81b4c659f5a7b06b8ce6949b77'}
{'Amount': '1038.006577665484910887'},{'Address': '0x9fd86d2a6c0a8ac88d2c8a165ebe72bd655940fd'}
{'Amount': '1025.118743733474102215'},{'Address': '0xc270b3a8428b222905c2564b0118fb4a0e10bb81'}
{'Amount': '1020.406216921525447358'},{'Address': '0xb30ec70639a499af4b4040e2be7385d44009af7f'}
{'Amount': '1014.393594751967845172'},{'Address': '0x36bc8ab353155d3613f0ff46e6eced244e98c293'}
{'Amount': '1000.000000000000000000'},{'Address': '0xa688d43501d7df531bedcf2176d008996e478b74'}
{'Amount': '1000.000000000000000000'},{'Address': '0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f'}
{'Amount': '1000.000000000000000000'},{'Address': '0x1954412daf4759936f4f0d42e1d2d4449a1a22c1'}
{'Amount': '1000.000000000000000000'},{'Address': '0xc96e7ad39849b44b09fa0d7156f5538fb001c9f3'}
{'Amount': '962.211134978686608369'},{'Address': '0x6683e277e4d031dce7cb8487d966e0d2191635e5'}
{'Amount': '960.189191099107792147'},{'Address': '0x77fb62fcca3ed31b1c546f415cc5a4c563990bb7'}
{'Amount': '959.152784625264232017'},{'Address': '0x07957109221d9e71c83c332a998116a9544e2f94'}
{'Amount': '957.832599228680937842'},{'Address': '0x67227455755e26f20d0f571d9e25160ee5a3f123'}
{'Amount': '954.851758981457346825'},{'Address': '0x13b841dbf99456fb55ac0a7269d9cfbc0ced7b42'}
{'Amount': '952.789467867108310349'},{'Address': '0x9541a4ddbedf7c35ca7b4ab534cc63e908257851'}
{'Amount': '929.999999999983065572'},{'Address': '0x9e906eaca4e08f39aaaf510608792d87370d82e0'}
{'Amount': '900.000000000000000000'},{'Address': '0xb975a017d45cd685fc47bf5cf1938d2ab3515103'}
{'Amount': '900.000000000000000000'},{'Address': '0x9e06af6bdd23d2b3920107f82247ab7ca18bc03e'}
